country_brewery,Ale,Amber Ale,Bock,Brown/Dark Ale,Cocktails,Dark Lager,Herbs/Vegetables,Hybrid Beer,IPA,Pale Ale,Pilsner & Pale Lager,Porter,Stout,Strong Ale,Strong Pale Ale,Wheat Beer,Wild/Sour Beer
Argentina,,,,,,,,,,86.0,492.0,,168.0,81.0,,,
Australia,,,,,,,,,2245.0,5478.0,4545.0,,2345.0,,,,
Austria,,,1869.0,,,1971.0,,,,,4440.0,,,,,1422.0,
Belarus,,,,,,61.0,,,,,305.0,45.0,,,,101.0,
Belgium,22931.0,,,,,,,,,,,,,32282.0,29331.0,,59494.0
Brazil,,,,,,1046.0,,,579.0,,1508.0,,,,,500.0,
Bulgaria,,,,,,55.0,,,,24.0,630.0,,,,,28.0,
Canada,,,,,,,11936.0,,18892.0,21778.0,14023.0,,,,,,
Chile,,52.0,,,,,,,,119.0,139.0,,91.0,,,,
China,,,,,,100.0,,,96.0,,2108.0,,117.0,,,,
Colombia,,,,,,23.0,,,,24.0,301.0,21.0,,,,,
Costa Rica,,26.0,,,,44.0,,,,37.0,416.0,,,,,,
Croatia,,,,,,479.0,,,,330.0,1550.0,248.0,,,,,
Czech Republic,,,,,,5788.0,,,1574.0,1259.0,14792.0,,,,,,
Denmark,,,,,,,,,11075.0,7080.0,8874.0,,11002.0,,,,
Ecuador,,,,,,,,,12.0,11.0,117.0,,14.0,,,,
Estonia,,,,,,,715.0,,1634.0,,1464.0,678.0,,,,,
Finland,,,,,,,2033.0,,1927.0,2449.0,2669.0,,,,,,
France,,,,,,,1936.0,5624.0,,,3745.0,,,,,2150.0,
Georgia,,,,,,38.0,,,,7.0,166.0,10.0,,,,,
Germany,,,15190.0,,,28960.0,,,,,53747.0,,,,,46466.0,
Greece,,,,,,304.0,,,310.0,268.0,2275.0,,,,,,
Hong Kong,,,,30.0,,,,,29.0,25.0,83.0,,,,,,
Hungary,,,,,,374.0,,,560.0,305.0,1277.0,,,,,,
India,,,,,235.0,,,,,,1343.0,,31.0,,,60.0,
Ireland,1556.0,1498.0,,,,,,,,,1701.0,,7969.0,,,,
Israel,,,,,,208.0,,,362.0,342.0,180.0,,,,,,
Italy,,,,,,,,,3214.0,4121.0,5414.0,,,,,,2509.0
Japan,,,,,,,1402.0,,,1391.0,4784.0,,,,,1566.0,
Kazakhstan,,,,,1.0,9.0,,,,,85.0,,,,,2.0,
Latvia,,,,,,406.0,383.0,,,,1155.0,362.0,,,,,
Lithuania,444.0,,,,,354.0,,,,,2082.0,,,,,435.0,
Mexico,,,,,,2903.0,538.0,,,589.0,8140.0,,,,,,
Netherlands,4382.0,,,,,,,,5533.0,,9333.0,,5313.0,,,,
New Zealand,,,,,,,,,2630.0,1852.0,1543.0,,1278.0,,,,
Norway,,,,,,,,,5202.0,4551.0,2750.0,,6203.0,,,,
Peru,,,,,,102.0,,,36.0,45.0,520.0,,,,,,
Philippines,,,,,70.0,181.0,,,16.0,,620.0,,,,,,
Poland,,,,,,,,,6166.0,2988.0,8791.0,,,,,3095.0,
Portugal,,,,,,387.0,,,260.0,,949.0,,160.0,,,,
Romania,,,,,,123.0,,,129.0,,763.0,,,,,82.0,
Russia,,,,,,773.0,,,522.0,,3487.0,662.0,,,,,
Serbia,,,,,,,54.0,,148.0,123.0,570.0,,,,,,
Singapore,,,,,,,,,67.0,94.0,723.0,,92.0,,,,
Slovak Republic,,,,,,592.0,,,578.0,333.0,1591.0,,,,,,
Slovenia,,,,,,267.0,,,303.0,158.0,1010.0,,,,,,
South Africa,,,,,,,,,124.0,275.0,430.0,,167.0,,,,
South Korea,,,,,,65.0,,,31.0,31.0,599.0,,,,,,
Spain,,,,,,,,,3039.0,2809.0,3936.0,,1451.0,,,,
Sweden,,,,,,,,,7297.0,8656.0,6704.0,,3898.0,,,,
Switzerland,,,,,,,693.0,,,1043.0,1603.0,,,,,,977.0
Taiwan,,,,,,,27.0,,8.0,,218.0,,,,,19.0,
Thailand,,,,,24.0,,,,26.0,,1488.0,,,,,26.0,
Ukraine,,,,,,303.0,,,,,1881.0,162.0,,,,308.0,
United Kingdom,19622.0,,,,,,,,21839.0,107747.0,,,23592.0,,,,
United States,,,,,,,,,531305.0,317080.0,,,249201.0,,,147002.0,
Vietnam,,,,,,58.0,,,31.0,28.0,642.0,,,,,,
